fontName,fontcompany_id,font_style,font_cdn,d_link,ph_content,content
Yoon 흥수,4,font-family: 'YoonSHS';,,http://font.co.kr/yoonfont/free/free_calli.asp,미성년자 어린이들은 음주는 안돼요 흡연도 안돼요,
Yoon 지희,4,font-family: 'YoonSJH';,,http://font.co.kr/yoonfont/free/free_calli.asp,하늘은 파랗고 바람은 살랑살랑 불면서 꽃비도 내리는데,
Yoon 지영,4,font-family: 'YoonSJY';,,http://font.co.kr/yoonfont/free/free_calli.asp,벚꽃나무는 경희대가 예쁜데 요즘 사람 많아져서 별로야,
Yoon 민준,4,font-family: 'YoonSMJ';,,http://font.co.kr/yoonfont/free/free_calli.asp,파티를 열면 꼭 칵테일바랑 블루투스 스피커가 있는 곳에서 할거야,
Yoon 세희,4,font-family: 'YoonSSH';,,http://font.co.kr/yoonfont/free/free_calli.asp,가족이 생긴다는 건 하나의 책임과 의무가 생긴다는 거야,
푸른전남체,19,font-family: 'PurenJeonnam';,,http://www.jeonnam.go.kr/contentsView.do?menuId=jeonnam0603080000,간단해보여도 생각보다 많은 노력과 정성이 들어가있어,
미생체,20,font-family: 'SDMiSaeng';,,http://webtoon.daum.net/event/misaengfont,어떤 서비스를 만들기 시작하게 되는건 필요성을 느껴서 아닐까,
조선일보명조체,21,font-family: 'Chosunilbo_myungjo';,,http://software.naver.com/software/summary.nhn?softwareId=MFS_109604,세상에 정말 객관적인 사람의 관점은 없어. 다 주관이 들어가지,
야놀자야체,22,font-family: 'YanoljaYacheR';,,http://cast.yanolja.com/detail/2171,디자이너인데 디자인 참 어렵고 못해요. 디자인 잘하고 싶다,
이순신체,23,font-family: 'YiSunShinRegular';,,http://www.asan.go.kr/font,이순신 장군님은 거북선을 만들어서 왜구를 물리치셨어요,
이순신돋움체,23,font-family: 'YiSunShinDotumM';,,http://www.asan.go.kr/font,바다는 출렁이면서 정신을 어지럽게 만들었고 나는 넘어졌다,
부산바다체,24,font-family: 'BusanBada';,,http://www.busanbadattf.com/,부산에서 바닷바람을 맞으면서 걸어가니 기분이 좋아졌다,
잉크립퀴드체,25,font-family: 'InkLipquid';,,http://www.thefaceshop.com/event/lipquid/main.jsp#Product,잉크가 터지면서 아름답게 사방으로 튀는 것을 보았다.,
솔미체,26,font-family: 'GabiaSolmee';,,https://company.gabia.com/font,"""유리는 약해서 큰 충격을 받으면 깨져버리지"" 솔미는 말했다",
봄바람체,26,font-family: 'GabiaBombaram';,,https://company.gabia.com/font,겨울바람은 봄바람이 오자 자리를 내주며 순순히 물러갔다.,
납작블럭체,26,font-family: 'NapjakBlock';,,https://company.gabia.com/font,납작하게 생긴 블럭은 납작하지만 밟으니 역시 아팠다.,
몬소리체,27,font-family: 'TmonMonsori';,,https://brunch.co.kr/@creative/32,나는 대체 너가 몬소리 하는건지 모르겠다 얘.,
빙그레체,28,font-family: 'Binggrae';,,http://www.bing.co.kr/pr/bing_font.aspx,서울 중구에는 옐로우카페라는 바나나맛우유 카페가 있어요.,
스웨거체,29,font-family: 'Swagger';,,http://www.swagger.kr/font.html,스웨거가 추구하는 남자의 이미지가 반영된 스웨거체입니다.,
HS봄바람체,30,font-family: 'HSBombaram';,,http://blog.naver.com/PostView.nhn?blogId=hp0&logNo=220939581383&redirect=Dlog&widgetTypeCall=true,"그날, 봄바람이 불었습니다. 나는 흔들리지 않으려 했어요",
포천오성과한음체,31,font-family: 'OSeongandHanEum';,,http://www.pocheon.go.kr/www/contents.do?key=5582,오성과 한음은 어린 아이들도 책을 통해서 다 들어본 이름이죠,
포천막걸리체,31,font-family: 'Makgeolli';,,http://www.pocheon.go.kr/www/contents.do?key=5582,막걸리와 파전은 참 잘어울리는 환상의 궁합이라고 생각해요.,
동그라미체,32,font-family: 'ThecircleM';,,http://www.thecircle.or.kr/%EB%8F%99%EA%B7%B8%EB%9D%BC%EB%AF%B8%EC%9E%AC%EB%8B%A8-%EC%84%9C%EC%B2%B4/,동글동글하고 굴러갈 것 같은 그 공은 동그래서 툭 찼다,
경기천년바탕,33,font-family: 'GyeonggiBatang';,,http://www.gg.go.kr/archives/3735027,디자인도 개발도 다 비슷하게 어려워요. 정반대인 것 같지만,
경기천년제목,33,font-family: 'GyeonggiTitleM';,,http://www.gg.go.kr/archives/3735027,사람들은 계속 걷고 걸어가다가 어느순간 막히면 혼란해져,
KoPub돋움,9,font-family: 'KoPubDotumMedium';,,http://www.kopus.org/Biz/electronic/Font.aspx,KoPub서체의 지적재산권은 문화체육관광부와 한국출판인회의에 있습니다.,
